column	type	scope	winner_metric	compression	column_config_encoding	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_compression_no_encoding_bytes	post_compression_no_encoding_ratio	target_bytes	post_encoding_ratio	post_compression_ratio	encoding_compression_ratio_improvement_pct	codec_ratio	experiment	result_file	column_stats_tsv
BrowserCountry	string	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	delta-binary-packed	rle-dict	3325142	7329878	136881	69192	122222	59.971838	69192	53.549273	105.935339	76.641808	1.978278	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv
BrowserCountry	string	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	delta-binary-packed	rle-dict	3325142	7329878	136881	69192	122222	59.971838	69192	53.549273	105.935339	76.641808	1.978278	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv
BrowserLanguage	string	none	encoded_bytes	none	rle-dict	delta-binary-packed	rle-dict	rle-dict	rle-dict	2001192	6005761	42771	42771	6005761	1.000000	42771	140.416661			1.000000	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv
BrowserLanguage	string	snappy	compressed_bytes	snappy	rle-dict	rle-dict	delta-binary-packed	delta-binary-packed	rle-dict	2001192	6005761	42486	34402	321313	18.691310	34402	141.358589	174.575926	833.995117	1.234986	rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
BrowserLanguage	string	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	delta-binary-packed	plain	rle-dict	2001192	6005761	42266	27489	32361	185.586385	27489	142.094378	218.478701	17.723453	1.537560	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
BrowserLanguage	string	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	delta-binary-packed	plain	rle-dict	2001192	6005761	42266	27489	32361	185.586385	27489	142.094378	218.478701	17.723453	1.537560	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
CLID	int32	none	encoded_bytes	none	rle-dict	rle-dict	rle-dict	delta-binary-packed	rle-dict	4000000	4005054	6632	6632	4005054	1.000000	6632	603.898372			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv
CLID	int32	snappy	compressed_bytes	snappy	rle-dict	rle-dict	plain	delta-binary-packed	delta-byte-array	4000000	4005054	5999	6231	204666	19.568731	6231	667.620270	642.762638	3184.641310	0.962767	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-delta-binary-packed_columns.tsv
CLID	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	rle-dict	delta-binary-packed	plain	4000000	4005054	4003542	5627	5641	709.990073	5627	1.000378	711.756531	0.248800	711.487827	rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed_columns.tsv
CLID	int32	overall	compressed_bytes	zstd-3	plain	plain	rle-dict	delta-binary-packed	plain	4000000	4005054	4003542	5627	5641	709.990073	5627	1.000378	711.756531	0.248800	711.487827	rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed_columns.tsv
ClientEventTime	timestamp_millis	none	encoded_bytes	none	delta-binary-packed	rle-dict	plain	delta-binary-packed	rle-dict	8000000	8006314	3492414	3492414	8006314	1.000000	3492414	2.292487			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-delta-binary-packed_columns.tsv
ClientEventTime	timestamp_millis	snappy	compressed_bytes	snappy	delta-binary-packed	delta-binary-packed	delta-binary-packed	delta-binary-packed	rle-dict	8000000	8006314	3492148	3045886	4229160	1.893122	3045886	2.292662	2.628567	38.848269	1.146513	rows-1000000-comp-snappy-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-05_rows-1000000-comp-snappy-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-05_rows-1000000-comp-snappy-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
ClientEventTime	timestamp_millis	zstd-3	compressed_bytes	zstd-3	plain	delta-binary-packed	delta-binary-packed	plain	rle-dict	8000000	8006314	8004796	2474093	2475752	3.233892	2474093	1.000190	3.236060	0.067055	3.235447	rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
ClientEventTime	timestamp_millis	overall	compressed_bytes	zstd-3	plain	delta-binary-packed	delta-binary-packed	plain	rle-dict	8000000	8006314	8004796	2474093	2475752	3.233892	2474093	1.000190	3.236060	0.067055	3.235447	rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
ClientIP	int32	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	plain	4000000	4005050	903734	903734	4005050	1.000000	903734	4.431669			1.000000	rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain_columns.tsv
ClientIP	int32	snappy	compressed_bytes	snappy	plain	plain	plain	delta-binary-packed	delta-byte-array	4000000	4005050	4003772	719059	719481	5.566582	719059	1.000319	5.569849	0.058688	5.568072	rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed_columns.tsv
ClientIP	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	4000000	4005050	4003592	408058	408069	9.814639	408058	1.000364	9.814904	0.002696	9.811331	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ClientIP	int32	overall	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	4000000	4005050	4003592	408058	408069	9.814639	408058	1.000364	9.814904	0.002696	9.811331	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ClientTimeZone	int16	none	encoded_bytes	none	rle-dict	rle-dict	delta-binary-packed	rle-dict	delta-byte-array	4000000	4005051	161522	161522	4005051	1.000000	161522	24.795700			1.000000	rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv
ClientTimeZone	int16	snappy	compressed_bytes	snappy	rle-dict	rle-dict	rle-dict	plain	delta-byte-array	4000000	4005051	162472	110114	285815	14.012739	110114	24.650715	36.371860	159.562817	1.475489	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
ClientTimeZone	int16	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	delta-binary-packed	plain	plain	4000000	4005051	164301	84413	99924	40.080972	84413	24.376303	47.445903	18.375132	1.946395	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain_columns.tsv
ClientTimeZone	int16	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	delta-binary-packed	plain	plain	4000000	4005051	164301	84413	99924	40.080972	84413	24.376303	47.445903	18.375132	1.946395	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-04_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain_columns.tsv
CodeVersion	int32	none	encoded_bytes	none	rle-dict	rle-dict	rle-dict	delta-binary-packed	rle-dict	4000000	4005053	7691	7691	4005053	1.000000	7691	520.745417			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv
CodeVersion	int32	snappy	compressed_bytes	snappy	rle-dict	rle-dict	delta-binary-packed	delta-binary-packed	delta-byte-array	4000000	4005053	7063	7284	205215	19.516376	7284	567.047006	549.842532	2717.339374	0.969660	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-05_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
CodeVersion	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	delta-binary-packed	plain	delta-byte-array	4000000	4005053	4003547	7031	7064	566.966733	7031	1.000376	569.627791	0.469350	569.413597	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain_columns.tsv
CodeVersion	int32	overall	compressed_bytes	zstd-3	plain	plain	delta-binary-packed	plain	delta-byte-array	4000000	4005053	4003547	7031	7064	566.966733	7031	1.000376	569.627791	0.469350	569.413597	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain_columns.tsv
ConnectTiming	int32	none	encoded_bytes	none	rle-dict	rle-dict	delta-binary-packed	delta-binary-packed	delta-byte-array	4000000	4005051	697758	697758	4005051	1.000000	697758	5.739885			1.000000	rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
