rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
11	rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain	none	plain	rle-dict	plain	delta-byte-array	7711890	8847066	4974893	4974893	1.778343		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain
12	rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain	none	plain	rle-dict	plain	delta-length-byte-array	7711890	8847066	7773379	7773379	1.138124		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain
13	rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	plain	7711890	8847066	8739154	8739154	1.012348		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict
14	rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	rle-dict	7711890	8847066	4434910	4434910	1.994869		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict
15	rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	delta-byte-array	7711890	8847066	4906958	4906958	1.802963		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict
16	rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	delta-length-byte-array	7711890	8847066	7705444	7705444	1.148158		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict
17	rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain	none	rle-dict	plain	plain	plain	7711890	8847066	6049964	6049964	1.462334		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain
18	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain	none	rle-dict	plain	plain	rle-dict	7711890	8847066	1745720	1745720	5.067861		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain
19	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	none	rle-dict	plain	plain	delta-byte-array	7711890	8847066	2217768	2217768	3.989176		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain
20	rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-plain	none	rle-dict	plain	plain	delta-length-byte-array	7711890	8847066	5016254	5016254	1.763680		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-plain
21	rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	plain	7711890	8847066	5982029	5982029	1.478941		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-plain-date-plain-ts-rle-dict
22	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	rle-dict	7711890	8847066	1677785	1677785	5.273063		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict
23	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	delta-byte-array	7711890	8847066	2149833	2149833	4.115234		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict
24	rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	delta-length-byte-array	7711890	8847066	4948319	4948319	1.787893		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-plain-ts-rle-dict
25	rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	plain	7711890	8847066	6009987	6009987	1.472061		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-plain
26	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	rle-dict	7711890	8847066	1705743	1705743	5.186635		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain
27	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	delta-byte-array	7711890	8847066	2177791	2177791	4.062404		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain
28	rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	delta-length-byte-array	7711890	8847066	4976277	4976277	1.777848		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-plain
29	rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	plain	7711890	8847066	5942052	5942052	1.488891		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-plain-date-rle-dict-ts-rle-dict
30	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	rle-dict	7711890	8847066	1637808	1637808	5.401772		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict
31	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	delta-byte-array	7711890	8847066	2109856	2109856	4.193208		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict
32	rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	delta-length-byte-array	7711890	8847066	4908342	4908342	1.802455		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-length-byte-array-date-rle-dict-ts-rle-dict
33	rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain	snappy	plain	plain	plain	plain	7711890	8847066	8846976	1274794	1.000010	6.939997	6.939926	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain
34	rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain	snappy	plain	plain	plain	rle-dict	7711890	8847066	4542751	950487	1.947513	9.307930	4.779393	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain
35	rows-10000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-plain	snappy	plain	plain	plain	delta-byte-array	7711890	8847066	5014792	1094935	1.764194	8.079992	4.579991	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-delta-byte-array-date-plain-ts-plain
36	rows-10000-comp-snappy-int-plain-str-delta-length-byte-array-date-plain-ts-plain	snappy	plain	plain	plain	delta-length-byte-array	7711890	8847066	7813276	1243080	1.132312	7.117053	6.285417	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-delta-length-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-delta-length-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-delta-length-byte-array-date-plain-ts-plain
37	rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-rle-dict	snappy	plain	plain	rle-dict	plain	7711890	8847066	8779043	1304128	1.007748	6.783894	6.731734	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-rle-dict
38	rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict	snappy	plain	plain	rle-dict	rle-dict	7711890	8847066	4474818	979821	1.977078	9.029268	4.566975	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict
